game_id,game_date,pitcher_id,pitcher_name,team,opponent,side,pitcher_hand,innings_pitched,batters_faced,hits_allowed,strikeouts,walks,earned_runs,games_started
778869,2025-02-20,808967,Yoshinobu Yamamoto,Los Angeles Dodgers,Chicago Cubs,home,R,1.2,8,3,2,0,0,1
778869,2025-02-20,547001,Cody Poteet,Chicago Cubs,Los Angeles Dodgers,away,R,1.1,9,3,1,2,3,1
779055,2025-02-21,573186,Marcus Stroman,New York Yankees,Tampa Bay Rays,home,R,1.0,5,2,1,0,0,1
779055,2025-02-21,607216,Joey Krehbiel,Tampa Bay Rays,New York Yankees,away,R,1.0,6,2,0,1,2,1
778780,2025-02-21,687003,Brian Van Belle,Boston Red Sox,Northeastern Huskies,home,R,1.2,7,1,3,1,0,1
778780,2025-02-21,828588,Max Gitlin,Northeastern Huskies,Boston Red Sox,away,L,1.0,5,1,1,0,0,1
778760,2025-02-21,696136,Jordan Wicks,Chicago Cubs,Los Angeles Dodgers,home,L,2.0,9,3,2,0,0,1
778760,2025-02-21,664062,Tony Gonsolin,Los Angeles Dodgers,Chicago Cubs,away,R,1.0,4,1,2,0,0,1
778949,2025-02-21,663738,Daniel Lynch IV,Kansas City Royals,Texas Rangers,home,L,2.0,8,2,2,0,0,1
778949,2025-02-21,543135,Nathan Eovaldi,Texas Rangers,Kansas City Royals,away,R,2.0,9,2,1,1,2,1
787940,2025-02-21,669203,Corbin Burnes,Arizona Diamondbacks,Colorado Rockies,home,R,1.0,3,0,3,0,0,1
787940,2025-02-21,687134,Bradley Blalock,Colorado Rockies,Arizona Diamondbacks,away,R,2.0,7,1,2,0,0,1
788017,2025-02-21,686701,Ryan Bergert,San Diego Padres,Seattle Mariners,home,R,1.0,3,0,0,0,0,1
788017,2025-02-21,646242,Jhonathan Díaz,Seattle Mariners,San Diego Padres,away,L,2.0,10,3,1,1,3,1
778740,2025-02-22,687473,Ryan Gusto,Houston Astros,Washington Nationals,home,R,2.0,7,0,3,1,0,1
778740,2025-02-22,663623,Jake Irvin,Washington Nationals,Houston Astros,away,R,1.0,3,0,0,0,0,1
779135,2025-02-22,544150,Albert Suárez,Baltimore Orioles,Pittsburgh Pirates,home,R,1.2,10,3,0,2,2,1
779135,2025-02-22,669387,Carmen Mlodzinski,Pittsburgh Pirates,Baltimore Orioles,away,R,2.0,10,4,1,0,2,1
778977,2025-02-22,621097,Jacob Waguespack,Tampa Bay Rays,Boston Red Sox,home,R,1.0,6,1,0,1,1,1
778977,2025-02-22,682990,Quinn Priester,Boston Red Sox,Tampa Bay Rays,away,R,2.0,8,2,0,1,1,1
779117,2025-02-22,628317,Kenta Maeda,Detroit Tigers,Philadelphia Phillies,home,R,2.0,6,0,4,0,0,1
779117,2025-02-22,622503,Nabil Crismatt,Philadelphia Phillies,Detroit Tigers,away,R,2.0,7,1,1,0,0,1
778880,2025-02-22,805673,Zebby Matthews,Minnesota Twins,Atlanta Braves,home,R,2.0,7,1,2,0,0,1
778880,2025-02-22,519242,Chris Sale,Atlanta Braves,Minnesota Twins,away,L,2.0,6,0,0,0,0,1
778963,2025-02-22,687922,Easton Lucas,Toronto Blue Jays,New York Yankees,home,L,2.0,7,0,3,0,0,1
778963,2025-02-22,607074,Carlos Rodón,New York Yankees,Toronto Blue Jays,away,L,2.2,13,5,1,1,3,1
778898,2025-02-22,605280,Clay Holmes,New York Mets,Houston Astros,home,R,3.0,9,0,3,0,0,1
778898,2025-02-22,676467,Colton Gordon,Houston Astros,New York Mets,away,L,1.1,9,4,1,1,2,1
779087,2025-02-22,678368,Valente Bellozo,Miami Marlins,St. Louis Cardinals,home,R,1.0,3,0,2,0,0,1
779087,2025-02-22,607200,Erick Fedde,St. Louis Cardinals,Miami Marlins,away,R,1.0,4,2,0,0,0,1
778840,2025-02-22,668881,Hunter Greene,Cincinnati Reds,Cleveland Guardians,home,R,2.0,11,4,3,1,2,1
778840,2025-02-22,663474,Triston McKenzie,Cleveland Guardians,Cincinnati Reds,away,R,2.0,7,1,1,0,1,1
778867,2025-02-22,693308,Nick Frasso,Los Angeles Dodgers,Kansas City Royals,home,R,1.0,4,0,1,0,0,1
